#-----------------------------------------------------------------------------
# Date d'extraction : 16/07/2019 - 07h16 loc.
#-----------------------------------------------------------------------------
# Producteur : DCLIM
# Experience : CLIMSEC
# Modele     : ARPEGE_RETIC
# Scenario :
#     A2 : scenario A2
#-----------------------------------------------------------------------------
# Horizons :
#     H1 : Horizon proche
#     H2 : Horizon moyen
#     H3 : Horizon lointain
#-----------------------------------------------------------------------------
# Type d'indice : saisonnier
#                  (1 - hiver, 2 - printemps, 3 - été, 4 - automne)
#-----------------------------------------------------------------------------
# Indices : 
#     NORSSWI : Intégration de Indicateur sècheresse d'humidité des sols (null)
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Contexte;Période;Saison;NORSSWI;
#-----------------------------------------------------------------------------
282;41.4087;9.1577;A2;H1;1;-0.8;
282;41.4087;9.1577;A2;H1;2;-0.29;
282;41.4087;9.1577;A2;H1;3;0.2;
282;41.4087;9.1577;A2;H1;4;-0.74;
423;41.4925;8.9759;A2;H1;1;-0.86;
423;41.4925;8.9759;A2;H1;2;-0.29;
423;41.4925;8.9759;A2;H1;3;0.12;
423;41.4925;8.9759;A2;H1;4;-0.66;
424;41.4864;9.071;A2;H1;1;-0.86;
424;41.4864;9.071;A2;H1;2;-0.5;
424;41.4864;9.071;A2;H1;3;0.12;
424;41.4864;9.071;A2;H1;4;-0.55;
425;41.4802;9.166;A2;H1;1;-0.88;
425;41.4802;9.166;A2;H1;2;-0.31;
425;41.4802;9.166;A2;H1;3;0.1;
425;41.4802;9.166;A2;H1;4;-0.66;
426;41.4739;9.261;A2;H1;1;-0.82;
426;41.4739;9.261;A2;H1;2;-0.22;
426;41.4739;9.261;A2;H1;3;0.16;
426;41.4739;9.261;A2;H1;4;-0.58;
564;41.5759;8.7935;A2;H1;1;-1.25;
564;41.5759;8.7935;A2;H1;2;-0.43;
564;41.5759;8.7935;A2;H1;3;-0.16;
564;41.5759;8.7935;A2;H1;4;-1.03;
565;41.57;8.8888;A2;H1;1;-1.71;
565;41.57;8.8888;A2;H1;2;-0.75;
565;41.57;8.8888;A2;H1;3;-0.37;
565;41.57;8.8888;A2;H1;4;-0.98;
566;41.564;8.984;A2;H1;1;-1.89;
566;41.564;8.984;A2;H1;2;-0.8;
566;41.564;8.984;A2;H1;3;-0.4;
566;41.564;8.984;A2;H1;4;-0.96;
567;41.5579;9.0791;A2;H1;1;-1.29;
567;41.5579;9.0791;A2;H1;2;-0.3;
567;41.5579;9.0791;A2;H1;3;-0.1;
567;41.5579;9.0791;A2;H1;4;-0.77;
568;41.5517;9.1743;A2;H1;1;-0.86;
568;41.5517;9.1743;A2;H1;2;-0.56;
568;41.5517;9.1743;A2;H1;3;-0.12;
568;41.5517;9.1743;A2;H1;4;-0.73;
569;41.5454;9.2694;A2;H1;1;-0.82;
569;41.5454;9.2694;A2;H1;2;-0.51;
569;41.5454;9.2694;A2;H1;3;-0;
569;41.5454;9.2694;A2;H1;4;-0.55;
707;41.6474;8.8014;A2;H1;1;-1.5;
707;41.6474;8.8014;A2;H1;2;-0.63;
707;41.6474;8.8014;A2;H1;3;-0.29;
707;41.6474;8.8014;A2;H1;4;-0.97;
708;41.6415;8.8967;A2;H1;1;-1.74;
708;41.6415;8.8967;A2;H1;2;-0.96;
708;41.6415;8.8967;A2;H1;3;-0.48;
708;41.6415;8.8967;A2;H1;4;-0.92;
709;41.6355;8.992;A2;H1;1;-1.77;
709;41.6355;8.992;A2;H1;2;-0.9;
709;41.6355;8.992;A2;H1;3;-0.45;
709;41.6355;8.992;A2;H1;4;-0.99;
710;41.6294;9.0873;A2;H1;1;-1.72;
710;41.6294;9.0873;A2;H1;2;-0.78;
710;41.6294;9.0873;A2;H1;3;-0.43;
710;41.6294;9.0873;A2;H1;4;-0.91;
711;41.6232;9.1826;A2;H1;1;-1.62;
711;41.6232;9.1826;A2;H1;2;-0.68;
711;41.6232;9.1826;A2;H1;3;-0.39;
711;41.6232;9.1826;A2;H1;4;-0.94;
712;41.6169;9.2779;A2;H1;1;-0.67;
712;41.6169;9.2779;A2;H1;2;-0.56;
712;41.6169;9.2779;A2;H1;3;0.34;
712;41.6169;9.2779;A2;H1;4;-0.46;
849;41.7248;8.7138;A2;H1;1;-1.38;
849;41.7248;8.7138;A2;H1;2;-0.56;
849;41.7248;8.7138;A2;H1;3;-0.24;
849;41.7248;8.7138;A2;H1;4;-0.96;
850;41.719;8.8093;A2;H1;1;-1.64;
850;41.719;8.8093;A2;H1;2;-0.94;
850;41.719;8.8093;A2;H1;3;-0.5;
850;41.719;8.8093;A2;H1;4;-0.88;
851;41.713;8.9047;A2;H1;1;-1.62;
851;41.713;8.9047;A2;H1;2;-1.14;
851;41.713;8.9047;A2;H1;3;-0.66;
851;41.713;8.9047;A2;H1;4;-0.94;
852;41.707;9.0001;A2;H1;1;-1.55;
852;41.707;9.0001;A2;H1;2;-0.58;
852;41.707;9.0001;A2;H1;3;-0.36;
852;41.707;9.0001;A2;H1;4;-0.89;
853;41.7009;9.0955;A2;H1;1;-1.7;
853;41.7009;9.0955;A2;H1;2;-0.77;
853;41.7009;9.0955;A2;H1;3;-0.47;
853;41.7009;9.0955;A2;H1;4;-0.93;
854;41.6946;9.1909;A2;H1;1;-1.96;
854;41.6946;9.1909;A2;H1;2;-0.6;
854;41.6946;9.1909;A2;H1;3;-0.26;
854;41.6946;9.1909;A2;H1;4;-0.81;
855;41.6884;9.2863;A2;H1;1;-0.81;
855;41.6884;9.2863;A2;H1;2;-0.27;
855;41.6884;9.2863;A2;H1;3;0.6;
855;41.6884;9.2863;A2;H1;4;-0.45;
856;41.682;9.3817;A2;H1;1;-0.77;
856;41.682;9.3817;A2;H1;2;-0.43;
856;41.682;9.3817;A2;H1;3;0.56;
856;41.682;9.3817;A2;H1;4;-0.4;
993;41.7905;8.8171;A2;H1;1;-1.56;
993;41.7905;8.8171;A2;H1;2;-0.68;
993;41.7905;8.8171;A2;H1;3;-0.34;
993;41.7905;8.8171;A2;H1;4;-1.04;
994;41.7845;8.9127;A2;H1;1;-1.53;
994;41.7845;8.9127;A2;H1;2;-0.57;
994;41.7845;8.9127;A2;H1;3;-0.48;
994;41.7845;8.9127;A2;H1;4;-0.96;
995;41.7785;9.0083;A2;H1;1;-1.48;
995;41.7785;9.0083;A2;H1;2;-0.4;
995;41.7785;9.0083;A2;H1;3;-0.18;
995;41.7785;9.0083;A2;H1;4;-0.82;
996;41.7724;9.1038;A2;H1;1;-1.03;
996;41.7724;9.1038;A2;H1;2;-0.55;
996;41.7724;9.1038;A2;H1;3;-0.29;
996;41.7724;9.1038;A2;H1;4;-0.83;
997;41.7661;9.1993;A2;H1;1;-1.07;
997;41.7661;9.1993;A2;H1;2;-0.4;
997;41.7661;9.1993;A2;H1;3;-0.3;
997;41.7661;9.1993;A2;H1;4;-0.81;
998;41.7598;9.2948;A2;H1;1;-0.89;
998;41.7598;9.2948;A2;H1;2;-0.29;
998;41.7598;9.2948;A2;H1;3;-0.23;
998;41.7598;9.2948;A2;H1;4;-0.83;
1136;41.862;8.8251;A2;H1;1;-1.68;
1136;41.862;8.8251;A2;H1;2;-0.67;
1136;41.862;8.8251;A2;H1;3;-0.34;
1136;41.862;8.8251;A2;H1;4;-0.96;
1137;41.856;8.9207;A2;H1;1;-1.6;
1137;41.856;8.9207;A2;H1;2;-0.46;
1137;41.856;8.9207;A2;H1;3;-0.27;
1137;41.856;8.9207;A2;H1;4;-0.9;
1138;41.85;9.0164;A2;H1;1;-1.64;
1138;41.85;9.0164;A2;H1;2;-0.72;
1138;41.85;9.0164;A2;H1;3;-0.41;
1138;41.85;9.0164;A2;H1;4;-0.94;
1139;41.8439;9.112;A2;H1;1;-1.08;
1139;41.8439;9.112;A2;H1;2;-1.26;
1139;41.8439;9.112;A2;H1;3;-0.27;
1139;41.8439;9.112;A2;H1;4;-0.86;
1140;41.8376;9.2077;A2;H1;1;-0.86;
1140;41.8376;9.2077;A2;H1;2;-1.14;
1140;41.8376;9.2077;A2;H1;3;0.06;
1140;41.8376;9.2077;A2;H1;4;-0.78;
